optimal_length,tour_length,score
2.626958131790161,2.626958131790161,0.0
2.690199613571167,2.690199613571167,0.0
3.2817533016204834,3.2817533016204834,0.0
2.662472724914551,2.6650912761688232,0.0009835035040055562
3.2855114936828613,3.2855114936828613,0.0
2.587519884109497,2.587519884109497,0.0
2.816688060760498,2.816688060760498,0.0
2.8943991661071777,2.8943991661071777,0.0
2.768767833709717,2.768767833709717,0.0
2.6438961029052734,2.6405344009399414,-0.001271495487904395
2.5548453330993652,2.5548453330993652,0.0
3.4251163005828857,3.4352402687072754,0.0029558027336669124
1.9103331565856934,1.9103331565856934,0.0
3.305424690246582,3.305424690246582,0.0
2.900714874267578,2.9007151126861572,8.219304192813581e-08
3.159193992614746,3.159193992614746,0.0
2.4851043224334717,2.4851043224334717,0.0
2.246422052383423,2.246422052383423,0.0
3.4160265922546387,3.4160265922546387,0.0
3.392540693283081,3.392540693283081,0.0
3.08591365814209,3.08591365814209,0.0
3.1126840114593506,3.126234769821167,0.004353399931354751
2.314985990524292,2.3209826946258545,0.002590384618355479
3.3120832443237305,3.3120832443237305,0.0
2.5853824615478516,2.5853824615478516,0.0
2.8722920417785645,2.8722920417785645,0.0
2.480694532394409,2.477895975112915,-0.0011281345788241026
3.017211437225342,3.017000913619995,-6.97742301879467e-05
3.403691291809082,3.403691530227661,7.004706326085852e-08
2.8840813636779785,2.8840811252593994,-8.266707807180751e-08
2.8491222858428955,2.8491222858428955,0.0
2.6621408462524414,2.6621410846710205,8.955896513285211e-08
3.106186866760254,3.106186866760254,0.0
2.3675224781036377,2.3693699836730957,0.0007803539719453134
3.045950174331665,3.045949697494507,-1.5654791807317991e-07
2.5879244804382324,2.5879244804382324,0.0
3.743236780166626,3.7859790325164795,0.011418527563183067
3.1359715461730957,3.135971784591675,7.602702245534942e-08
2.3036611080169678,2.3036611080169678,0.0
3.1090247631073,3.1090247631073,0.0
2.8375613689422607,2.8375613689422607,0.0
3.0075831413269043,3.0082077980041504,0.00020769390167907353
2.6241402626037598,2.6241402626037598,0.0
